CLB10351 RESOURCE62087
CLB10352 RESOURCE62086
CLB10353 RESOURCE62662
CLB10354 RESOURCE63140
CLB10355 RESOURCE59110
CLB10356 RESOURCE58144
CLB10357 RESOURCE63142
CLB10358 RESOURCE60558
CLB10359 RESOURCE59598
CLB1036 RESOURCE41848
CLB10360 RESOURCE62661
CLB10361 RESOURCE63621
CLB10362 RESOURCE44020
CLB10363 RESOURCE60557
CLB10364 RESOURCE61122
CLB10365 RESOURCE60078
CLB10366 RESOURCE47478
CLB10367 RESOURCE58623
CLB10368 RESOURCE47477
CLB10369 RESOURCE57470
CLB1037 RESOURCE43478
CLB10370 RESOURCE58634
CLB10371 RESOURCE62082
CLB10372 RESOURCE63620
CLB10373 RESOURCE60543
CLB10374 RESOURCE58143
CLB10375 RESOURCE62077
CLB10376 RESOURCE59112
CLB10377 RESOURCE62658
CLB10378 RESOURCE60552
CLB10379 RESOURCE59109
CLB1038 RESOURCE63001
CLB10380 RESOURCE46520
CLB10381 RESOURCE47957
CLB10382 RESOURCE49012
CLB10383 RESOURCE58616
CLB10384 RESOURCE59577
CLB10385 RESOURCE63126
CLB10386 RESOURCE56406
CLB10387 RESOURCE56984
CLB10388 RESOURCE59576
CLB10389 RESOURCE58138
CLB1039 RESOURCE45970
CLB10390 RESOURCE60538
CLB10391 RESOURCE58139
CLB10392 RESOURCE57465
CLB10393 RESOURCE59579
CLB10394 RESOURCE57466
CLB10395 RESOURCE58619
CLB10396 RESOURCE58141
CLB10397 RESOURCE57467
CLB10398 RESOURCE59098
CLB10399 RESOURCE60058
CLB104 RESOURCE23918
CLB1040 RESOURCE46446
CLB10400 RESOURCE59095
CLB10401 RESOURCE62646
CLB10402 RESOURCE61112
CLB10403 RESOURCE60060
CLB10404 RESOURCE61114
CLB10405 RESOURCE60537
CLB10406 RESOURCE61113
CLB10407 RESOURCE63611
CLB10408 RESOURCE49493
CLB10409 RESOURCE58621
CLB1041 RESOURCE62999
CLB10410 RESOURCE60539
CLB10411 RESOURCE61595
CLB10412 RESOURCE48437
CLB10413 RESOURCE62075
CLB10414 RESOURCE61111
CLB10415 RESOURCE63608
CLB10416 RESOURCE62649
CLB10417 RESOURCE62072
CLB10418 RESOURCE65623
CLB10419 RESOURCE66104
CLB1042 RESOURCE46448
CLB10420 RESOURCE65624
CLB10421 RESOURCE64088
CLB10422 RESOURCE63129
CLB10423 RESOURCE64568
CLB10424 RESOURCE65145
CLB10425 RESOURCE48440
CLB10426 RESOURCE64089
CLB10427 RESOURCE63610
CLB10428 RESOURCE64090
CLB10429 RESOURCE65144
CLB1043 RESOURCE47408
CLB10430 RESOURCE64092
CLB10431 RESOURCE64569
CLB10432 RESOURCE66103
CLB10433 RESOURCE64570
CLB10434 RESOURCE64571
CLB10435 RESOURCE66585
CLB10436 RESOURCE61594
CLB10437 RESOURCE62074
CLB10438 RESOURCE63130
CLB10439 RESOURCE63134
CLB1044 RESOURCE46930
CLB10440 RESOURCE62652
CLB10441 RESOURCE63133
CLB10442 RESOURCE62651
CLB10443 RESOURCE64574
CLB10444 RESOURCE64093
CLB10445 RESOURCE49011
CLB10446 RESOURCE65625
CLB10447 RESOURCE64572
CLB10448 RESOURCE62653
CLB10449 RESOURCE63135
CLB1045 RESOURCE46925
CLB10450 RESOURCE63132
CLB10451 RESOURCE65146
CLB10452 RESOURCE66106
CLB10453 RESOURCE62656
CLB10454 RESOURCE63615
CLB10455 RESOURCE64573
CLB10456 RESOURCE65149
CLB10457 RESOURCE65143
CLB10458 RESOURCE65147
CLB10459 RESOURCE65148
CLB1046 RESOURCE45967
CLB10460 RESOURCE63137
CLB10461 RESOURCE63616
CLB10462 RESOURCE64576
CLB10463 RESOURCE66582
CLB10464 RESOURCE65630
CLB10465 RESOURCE64577
CLB10466 RESOURCE64578
CLB10467 RESOURCE65154
CLB10468 RESOURCE46523
CLB10469 RESOURCE66105
CLB1047 RESOURCE45491
CLB10470 RESOURCE58608
CLB10471 RESOURCE65151
CLB10472 RESOURCE66107
CLB10473 RESOURCE67068
CLB10474 RESOURCE59569
CLB10475 RESOURCE59570
CLB10476 RESOURCE60049
CLB10477 RESOURCE61104
CLB10478 RESOURCE45561
CLB10479 RESOURCE65631
CLB1048 RESOURCE45971
CLB10480 RESOURCE46999
CLB10481 RESOURCE65152
CLB10482 RESOURCE67067
CLB10483 RESOURCE65635
CLB10484 RESOURCE64579
CLB10485 RESOURCE65156
CLB10486 RESOURCE67066
CLB10487 RESOURCE66590
CLB10488 RESOURCE65633
CLB10489 RESOURCE65634
CLB1049 RESOURCE45969
CLB10490 RESOURCE67553
CLB10491 RESOURCE63609
CLB10492 RESOURCE67546
CLB10493 RESOURCE62650
CLB10494 RESOURCE65636
CLB10495 RESOURCE63614
CLB10496 RESOURCE61591
CLB10497 RESOURCE66592
CLB10498 RESOURCE45081
CLB10499 RESOURCE63612
CLB105 RESOURCE24398
CLB1050 RESOURCE43957
CLB10500 RESOURCE68033
CLB10501 RESOURCE66594
CLB10502 RESOURCE68509
CLB10503 RESOURCE66109
CLB10504 RESOURCE65626
CLB10505 RESOURCE68513
CLB10506 RESOURCE65628
CLB10507 RESOURCE66588
CLB10508 RESOURCE62654
CLB10509 RESOURCE67076
CLB1051 RESOURCE43477
CLB10510 RESOURCE61592
CLB10511 RESOURCE67554
CLB10512 RESOURCE63136
CLB10513 RESOURCE61593
CLB10514 RESOURCE61110
CLB10515 RESOURCE37605
CLB10516 RESOURCE37028
CLB10517 RESOURCE37027
CLB10518 RESOURCE62076
CLB10519 RESOURCE62647
CLB1052 RESOURCE46931
CLB10520 RESOURCE62071
CLB10521 RESOURCE43061
CLB10522 RESOURCE59578
CLB10523 RESOURCE37024
CLB10524 RESOURCE64091
CLB10525 RESOURCE63131
CLB10526 RESOURCE64575
CLB10527 RESOURCE38093
CLB10528 RESOURCE37029
CLB10529 RESOURCE63607
CLB1053 RESOURCE47413
CLB10530 RESOURCE37031
CLB10531 RESOURCE61117
CLB10532 RESOURCE64103
CLB10533 RESOURCE64102
CLB10534 RESOURCE53112
CLB10535 RESOURCE50133
CLB10536 RESOURCE63143
CLB10537 RESOURCE63141
CLB10538 RESOURCE52055
CLB10539 RESOURCE55994
CLB1054 RESOURCE48951
CLB10540 RESOURCE62664
CLB10541 RESOURCE62085
CLB10542 RESOURCE64580
CLB10543 RESOURCE51571
CLB10544 RESOURCE50612
CLB10545 RESOURCE51573
CLB10546 RESOURCE49491
CLB10547 RESOURCE62660
CLB10548 RESOURCE64583
CLB10549 RESOURCE55514
CLB1055 RESOURCE45975
CLB10550 RESOURCE43541
CLB10551 RESOURCE61128
CLB10552 RESOURCE60554
CLB10553 RESOURCE47631
CLB10554 RESOURCE38097
CLB10555 RESOURCE57478
CLB10556 RESOURCE49651
CLB10557 RESOURCE51093
CLB10558 RESOURCE59115
CLB10559 RESOURCE61125
CLB1056 RESOURCE45974
CLB10560 RESOURCE50132
CLB10561 RESOURCE62084
CLB10562 RESOURCE61124
CLB10563 RESOURCE63138
CLB10564 RESOURCE63139
CLB10565 RESOURCE56475
CLB10566 RESOURCE55995
CLB10567 RESOURCE62668
CLB10568 RESOURCE49015
CLB10569 RESOURCE61129
CLB1057 RESOURCE47409
CLB10570 RESOURCE51095
CLB10571 RESOURCE61611
CLB10572 RESOURCE62090
CLB10573 RESOURCE62088
CLB10574 RESOURCE64111
CLB10575 RESOURCE63146
CLB10576 RESOURCE39889
CLB10577 RESOURCE63147
CLB10578 RESOURCE49495
CLB10579 RESOURCE63149
CLB1058 RESOURCE45973
CLB10580 RESOURCE65167
CLB10581 RESOURCE62669
CLB10582 RESOURCE63148
CLB10583 RESOURCE62671
CLB10584 RESOURCE57536
CLB10585 RESOURCE49653
CLB10586 RESOURCE62666
CLB10587 RESOURCE47633
CLB10588 RESOURCE62093
